ticker,NAICS
DXLG,448140
DX,525990
DY,237110
SWS,523110
BPZ,211120
CRIS,325414
NANO,334514
HBAN,522110
GEOS,334514
TCBI,522110
TCBK,522110
ATVI,334614
PNM,221111
TGH,532210
MYGN,325412
BPFH,522110
LMNX,332994
SYBT,522110
INTC,334413
RGLS,325412
INTU,334614
RST,334614
DHX,312230
BOFI,522120
AZPN,541511
XCRA,334514
DHR,334513
AJG,524210
RNST,522110
CFR,522110
NRG,221111
VICL,325414
VICR,334220
CBEY,517311
SJI,221210
LCNB,522110
JIVE,518210
GTLS,332313
OPLK,334210
RENT,312230
WBCO,522110
WM,562211
SJM,311421
IIVI,333314
WU,312230
WR,221111
MFRM,337110
WY,525990
WSTC,312230
FPRX,325412
WNR,324110
OVTI,334413
ARII,333914
ARIA,325414
HSP,325412
HST,525990
RIG,213111
VCYT,621511
BUSE,522110
EQY,525990
IART,334516
H,721110
EQR,525990
EQU,211120
HAE,332994
MSFT,334614
TRMB,334514
KNX,484121
RNET,485310
HAR,334310
HAS,336991
LVLT,517311
RBCAA,522110
SYA,524113
ZLTQ,334510
VIAB,515210
LXP,525990
SYK,332994
LNDC,311421
XEC,211120
CRWN,515210
EPIQ,541511
SYX,454110
TOWR,336211
GWRE,334614
EME,238210
EMC,334112
EMN,325211
HELE,333414
RGA,524113
WTBA,522110
CNSL,517311
SDRL,213111
CCMP,334413
LDL,336211
LDR,334514
CLCT,312230
TMUS,517312
AFFX,334516
CLUB,481219
VIAS,334412
FOX,515210
ECHO,488510
FOE,325510
PDFS,541511
ADVS,541511
CZNC,522110
ULTI,334614
MKTX,523110
WWE,512110
ULTR,483111
QADA,334614
MKTO,334614
COP,324110
COR,525990
WTI,211120
COV,332994
FISI,522110
FSL,334413
PES,213111
FSP,525990
DAVE,711110
FSS,336111
FISV,518210
PEI,525990
COG,211120
COF,522110
PEG,221111
COL,332912
COO,339113
PZZA,711110
CASH,522120
ASGN,561320
VGR,312230
CASS,312230
PENN,721110
WAL,522110
WAG,446110
MRGE,541512
WAB,333914
MTGE,525990
ZTS,325412
PLOW,333120
ALIM,325412
NYMT,525990
BLMN,711110
HCBK,522120
ZOES,711110
UFS,322121
TYPE,541511
DIN,711110
FNSR,334413
RECN,312230
GNW,524113
AIZ,524113
AIV,525990
AIQ,621511
INSM,325412
VDSI,541512
AIN,313210
RPAI,525990
CUTR,334510
GNE,221111
INSY,325412
AIG,524126
STRT,336211
DIS,515210
SEMG,213112
SQBK,522110
MEAS,334514
NSM,522292
MNST,312111
NSC,482111
CHH,721110
VSEC,541330
NSP,561320
NSR,485310
NSPH,332994
PANW,333316
VOLC,334510
I,485310
IP,322121
IR,334512
IT,236115
UTL,221111
URI,532210
CBRL,711110
SRPT,325412
IM,423430
IRM,525990
IO,213112
UTX,336412
IRC,525990
IRF,334413
SATS,334220
PWR,238210
ACRX,325412
NUTR,325411
MRO,211120
DXCM,332994
ACRE,525990
OPK,325412
RRGB,711110
MRK,325412
EPR,525990
CTRE,525990
BOH,522110
EPL,211120
CTRX,524210
NAV,336111
GTAT,334413
PRFT,541511
SHLD,452210
WAFD,522110
PEGI,221111
CENX,331313
SXC,324199
CMRX,325412
CRZO,211120
CGNX,334513
VVI,312230
SPDC,423430
VVC,221210
BWLD,711110
HAFC,522110
SAFM,311615
DSCI,332994
SAFT,524126
SVU,424410
PFSI,522292
MDSO,334614
BOKF,522110
COB,522110
GXP,221111
AMKR,334413
TNET,312230
EDIG,334413
ISLE,721110
ESV,213111
BURL,452210
FLS,333914
FLT,312230
OSIS,334413
DBD,333316
FINL,448210
UFCS,524126
APH,334417
PEB,525990
TRI,511120
BDGE,522110
SUPN,325412
TRN,333914
AL,532210
TRR,541330
TRW,336211
TRV,524126
GOGO,485310
KCG,523110
SFE,523130
HTA,525990
ESE,334290
RTEC,334513
HTH,522110
HTS,525990
SFL,483111
OPWR,334614
HTBI,522120
TSRO,325412
GNRC,335312
NXTM,334510
KTWO,332994
BMTC,522110
ZBH,322291
NI,221111
NIHD,517312
NM,483111
AGYS,541512
RRC,211120
MCRS,541512
MCRL,334413
TECH,325414
MCRI,721110
NP,322121
NR,333132
NYLD,221111
BCOV,518210
ELY,339920
RDC,213111
ELS,525990
RDN,524126
LEA,336211
FBP,522110
LEE,511110
FRME,522110
FBC,522120
IPAR,325611
NLNK,325412
CMTL,334220
USB,522110
AZO,441310
USM,517312
IQV,541713
MXIM,334413
LDOS,541512
NFBK,522120
PCAR,336111
SGY,211120
TTGT,312230
SGI,334111
EIGI,334614
SGM,522292
JONE,211120
SGA,515111
PXD,211120
CNW,484121
STFC,524126
CNS,523920
CNP,221111
FPO,525990
CWST,562211
CNX,211120
HTWR,332994
CNC,524114
CNA,524126
CNO,524113
CNL,221111
CCXI,325412
PSMI,334413
PFE,325412
PFG,524113
MRTN,484121
CATM,312230
CATO,448120
PFS,522120
INDB,522110
CATY,522110
AMTD,523110
HIIQ,524210
DXC,518210
MRTX,325412
SIR,525990
JBHT,484121
LSTR,484121
PFPT,518210
PLPC,237110
SIG,448310
SIF,336412
JWN,448140
ESPR,325412
ACET,424210
TAT,213112
ROG,325211
SSYS,333316
WAT,334516
TAP,311942
VSAT,334220
RLGY,531110
AVAV,336411
TAX,533110
MDRX,541512
TWMC,443142
FSGI,522110
RJET,481111
LIOX,312230
FLXN,325412
LION,522110
CSII,332994
AMZN,454110
COVS,518210
AHC,511110
PACW,522110
VTSS,334413
PACR,488510
MENT,541512
CTCT,511140
AHL,524126
ITRI,334514
PTEN,213111
AHP,525990
AHT,525990
WLL,211120
XYL,333914
TSN,311615
EMCI,524126
WBMD,312230
TSC,522110
TSS,312230
APOG,327215
KBH,236117
AROW,522110
HUM,524114
PLD,525990
TGNA,515120
MORN,523920
SNPS,334614
NFG,221210
HCP,525990
MHLD,524126
BLX,522110
HCT,517311
KVHI,334220
BCRX,325414
MSTR,334614
BLL,332431
HCA,622110
FFIN,522110
BLK,523110
BABY,334510
MANT,236115
HCI,524126
NFX,211120
WAGE,312230
SAIC,541512
SAIA,484121
FFNW,522110
PRGS,334614
RES,213112
REV,325611
REI,211120
REN,211120
IDTI,334413
RBCN,334413
REG,525990
FCS,334413
FRNK,522120
STWD,525990
FCF,522110
FCH,525990
FICO,312230
FCN,541611
LTS,523110
LQDT,312230
MKL,524126
AMED,621610
LTC,525990
FMI,621511
FMD,522210
LTM,481219
TXMD,325412
WASH,522110
UNFI,424410
GNCA,325414
SO,221111
SN,211120
SM,211120
BKYF,522120
SB,483111
UTHR,325412
QNST,312230
SF,523110
SD,211120
QRHC,532210
CAP,532210
CAT,333120
CAH,424210
PBPB,711110
CAM,333132
RFMD,334413
CAC,522110
BNCL,522120
BNCN,522110
DATA,334614
TBI,561320
PGC,522110
INCY,541713
PGI,312230
DYN,221111
NWHM,236117
CUDA,333316
PYPL,312230
AKRX,325412
CACQ,721110
MMSI,332994
RAIL,333914
WCC,423610
CACC,522210
CACB,522110
ZIOP,325412
CACI,541512
WCN,562211
UDR,525990
RSO,525990
ALKS,325412
RSG,562211
OGS,221210
SCMP,325412
DRTX,325412
OGE,221111
BLKB,334614
NUVA,332994
COWN,523110
GRUB,312230
WSTL,334210
HDNG,333517
MIG,524126
RCII,532210
CSFL,522110
GHL,523110
FXEN,211120
BRLI,621511
FII,523920
MLAB,334513
AON,524210
AOL,518210
AOSL,334413
CTBI,522110
OREX,325412
PCRX,325412
URBN,448140
AEPI,326113
L,524126
URS,541330
KPTI,325412
AYR,532210
EGHT,517311
IPG,541810
NLSN,312230
ESGR,524126
PRXL,541713
SFG,524113
SAVE,481111
HTBK,522110
ACTG,533110
KSU,482111
ATSG,492110
TECUA,333415
KSS,452210
NGS,213112
XLS,334290
EROS,423990
DXYN,314110
ECYT,325412
BMI,334514
BMR,525990
DENN,711110
LNCE,311812
BMY,325412
EL,325611
DTLK,541512
EE,221111
ED,221111
PMCS,334413
EA,334614
AERI,325414
ACFN,541330
EW,322291
EV,523920
ES,221111
SHO,721110
