Ticker,BEA,NAICS,Title
AWAY,514,518210,"Data processing, internet publishing, and other information services"
AWI,326,326121,Plastics and rubber products
AWK,22,221310,Utilities
AWR,22,221310,Utilities
AXAS,211,211120,Oil and gas extraction
AXDX,334,334516,Computer and electronic products
AXE,42,423610,Wholesale trade
AXL,3361MV,336211,"Motor vehicles, bodies and trailers, and parts"
AXLL,325,325211,Chemical products
AXS,524,524126,Insurance carriers and related activities
AYR,532RL,532210,Rental and leasing services and lessors of intangible assets
AZPN,5415,541511,Computer systems design and related services
BA,3364OT,336411,Other transportation equipment
BABY,334,334510,Computer and electronic products
BAC,521CI,522110,"Federal Reserve banks, credit intermediation, and related activities"
BAGL,711AS,711110,"Performing arts, spectator sports, museums, and related activities"
BAH,5412OP,541611,"Miscellaneous professional, scientific, and technical services"
BALT,483,483111,Water transportation
BANC,521CI,522110,"Federal Reserve banks, credit intermediation, and related activities"
BANF,521CI,522110,"Federal Reserve banks, credit intermediation, and related activities"
BANR,521CI,522110,"Federal Reserve banks, credit intermediation, and related activities"
BAS,213,213112,Support activities for mining
BAX,332,332994,Fabricated metal products
BBG,211,211120,Oil and gas extraction
BBGI,513,515111,Broadcasting and telecommunications
BBNK,521CI,522110,"Federal Reserve banks, credit intermediation, and related activities"
BBRG,711AS,711110,"Performing arts, spectator sports, museums, and related activities"
BBSI,561,561320,Administrative and support services
BBT,521CI,522110,"Federal Reserve banks, credit intermediation, and related activities"
BBW,4A0,451120,Other retail
BCEI,211,211120,Oil and gas extraction
BCO,487OS,488510,Other transportation and support activities
BCOV,514,518210,"Data processing, internet publishing, and other information services"
BCR,332,332994,Fabricated metal products
BCRX,325,325414,Chemical products
BDC,331,331318,Primary metals
BDGE,521CI,522110,"Federal Reserve banks, credit intermediation, and related activities"
BDN,525,525990,"Funds, trusts, and other financial vehicles"
BDSI,325,325412,Chemical products
BDX,332,332994,Fabricated metal products
BEAT,621,621399,Ambulatory health care services
BEAV,332,332912,Fabricated metal products
BEE,525,525990,"Funds, trusts, and other financial vehicles"
BELFB,334,334416,Computer and electronic products
BEN,523,523920,"Securities, commodity contracts, and investments"
BERY,326,326121,Plastics and rubber products
BFAM,624,624410,Social assistance
BFIN,521CI,522120,"Federal Reserve banks, credit intermediation, and related activities"
BFS,525,525990,"Funds, trusts, and other financial vehicles"
BGC,331,331318,Primary metals
BH,711AS,711110,"Performing arts, spectator sports, museums, and related activities"
BHB,521CI,522110,"Federal Reserve banks, credit intermediation, and related activities"
BHE,334,334412,Computer and electronic products
BHF,524,524113,Insurance carriers and related activities
BHGE,333,333132,Machinery
BHLB,521CI,522120,"Federal Reserve banks, credit intermediation, and related activities"
BID,311FT,312230,Food and beverage and tobacco products
BIIB,325,325414,Chemical products
BIO,334,334516,Computer and electronic products
BIOL,339,339114,Miscellaneous manufacturing
BIOS,621,621610,Ambulatory health care services
BIRT,334,334614,Computer and electronic products
BJRI,711AS,711110,"Performing arts, spectator sports, museums, and related activities"
BK,521CI,522110,"Federal Reserve banks, credit intermediation, and related activities"
BKE,4A0,448140,Other retail
BKH,22,221111,Utilities
BKMU,521CI,522120,"Federal Reserve banks, credit intermediation, and related activities"
BKNG,311FT,312230,Food and beverage and tobacco products
BKU,521CI,522120,"Federal Reserve banks, credit intermediation, and related activities"
BKW,711AS,711110,"Performing arts, spectator sports, museums, and related activities"
BKYF,521CI,522120,"Federal Reserve banks, credit intermediation, and related activities"
BLDR,4A0,444110,Other retail
BLK,523,523110,"Securities, commodity contracts, and investments"
BLKB,334,334614,Computer and electronic products
BLL,332,332431,Fabricated metal products
BLMN,711AS,711110,"Performing arts, spectator sports, museums, and related activities"
BLOX,514,518210,"Data processing, internet publishing, and other information services"
BLUE,325,325414,Chemical products
BLX,521CI,522110,"Federal Reserve banks, credit intermediation, and related activities"
BMI,334,334514,Computer and electronic products
BMR,525,525990,"Funds, trusts, and other financial vehicles"
BMRC,521CI,522110,"Federal Reserve banks, credit intermediation, and related activities"
BMRN,325,325412,Chemical products
BMTC,521CI,522110,"Federal Reserve banks, credit intermediation, and related activities"
BMY,325,325412,Chemical products
BNCL,521CI,522120,"Federal Reserve banks, credit intermediation, and related activities"
BNCN,521CI,522110,"Federal Reserve banks, credit intermediation, and related activities"
BNFT,334,334614,Computer and electronic products
BOBE,711AS,711110,"Performing arts, spectator sports, museums, and related activities"
BOFI,521CI,522120,"Federal Reserve banks, credit intermediation, and related activities"
BOH,521CI,522110,"Federal Reserve banks, credit intermediation, and related activities"
BOKF,521CI,522110,"Federal Reserve banks, credit intermediation, and related activities"
BOLT,333,333132,Machinery
BP,324,324110,Petroleum and coal products
BPFH,521CI,522110,"Federal Reserve banks, credit intermediation, and related activities"
BPOP,521CI,522110,"Federal Reserve banks, credit intermediation, and related activities"
BPTH,325,325412,Chemical products
BPZ,211,211120,Oil and gas extraction
BR,311FT,312230,Food and beverage and tobacco products
BRCM,334,334413,Computer and electronic products
BRDR,311FT,312230,Food and beverage and tobacco products
BREW,311FT,311942,Food and beverage and tobacco products
BRKL,521CI,522120,"Federal Reserve banks, credit intermediation, and related activities"
BRKR,334,334516,Computer and electronic products
BRKS,332,332410,Fabricated metal products
BRLI,621,621511,Ambulatory health care services
BRO,524,524210,Insurance carriers and related activities
BRS,481,481211,Air transportation
BRT,525,525990,"Funds, trusts, and other financial vehicles"
BSET,337,337122,Furniture and related products
BSFT,334,334614,Computer and electronic products
BSRR,521CI,522110,"Federal Reserve banks, credit intermediation, and related activities"
BSTC,325,325412,Chemical products
BSX,332,332994,Fabricated metal products
BTU,212,212111,"Mining, except oil and gas"
BTX,325,325414,Chemical products
BUSE,521CI,522110,"Federal Reserve banks, credit intermediation, and related activities"
BV,334,334614,Computer and electronic products
BWA,3361MV,336211,"Motor vehicles, bodies and trailers, and parts"
BWINB,524,524126,Insurance carriers and related activities
BWLD,711AS,711110,"Performing arts, spectator sports, museums, and related activities"
BXC,42,423310,Wholesale trade
BXLT,325,325412,Chemical products
BXP,525,525990,"Funds, trusts, and other financial vehicles"
BYD,721,721110,Accommodation
BYI,334,334614,Computer and electronic products
BZH,23,236117,Construction
C,521CI,522110,"Federal Reserve banks, credit intermediation, and related activities"
CA,334,334614,Computer and electronic products
CAC,521CI,522110,"Federal Reserve banks, credit intermediation, and related activities"
CACB,521CI,522110,"Federal Reserve banks, credit intermediation, and related activities"
CACC,521CI,522210,"Federal Reserve banks, credit intermediation, and related activities"
CACI,5415,541512,Computer systems design and related services
CACQ,721,721110,Accommodation
CAH,42,424210,Wholesale trade
CAKE,711AS,711110,"Performing arts, spectator sports, museums, and related activities"
CALD,5415,541511,Computer systems design and related services
CALL,513,517311,Broadcasting and telecommunications
CALX,485,485310,Transit and ground passenger transportation
CAM,333,333132,Machinery
CAMP,334,334220,Computer and electronic products
CAP,532RL,532210,Rental and leasing services and lessors of intangible assets
CARA,325,325412,Chemical products
CARB,514,518210,"Data processing, internet publishing, and other information services"
CASH,521CI,522120,"Federal Reserve banks, credit intermediation, and related activities"
CASS,311FT,312230,Food and beverage and tobacco products
