ticker,pricetorevenue,marketcap,pricetobook
ANIK,6.931582558,696779810.3,3.3859647286821715
ANIP,6.7126593020000005,596258372.4,3.6405329457364326
ANSS,8.457837984,8088900629.0,3.637540310077518
ANTM,0.43204302299999997,35066057857.0,1.468514728682171
AON,,28829631151.0,
AOSL,1.0865872090000002,365674778.8,1.5009755813953491
AP,0.578347287,150142058.0,0.7015961240310084
APAM,1.811803101,1352902826.0,10.810439147286827
APH,3.210689922,18677792353.0,5.374570542635655
APOG,1.282754264,1283300228.0,3.02082054263566
ARCB,0.202398062,539245501.9,0.9189906976744188
ARE,8.202594573999999,7277467372.0,2.0106868217054275
ARI,7.8461922479999995,1100141033.0,0.7615333333333335
ARII,1.035284109,820098930.8,1.510639147286822
AROW,4.338882558,418433851.7,1.8770554263565913
ARRS,0.850841473,4676876701.0,1.7813798449612417
