ticker,pricetorevenue,marketcap
CLNY,2.280399225,2110748569
CLUB,0.155506154,63765117.57
CLW,0.572326357,1000788801
CLX,2.899765891,16660952076
CMC,0.45329186,1968176286
CMCO,0.584075581,353240841.7
CMCSA,4.038889147,3.07703E+11
CMG,3.085298062,12875145809
CMLS,0.014332692,16575562.45
CMO,8.123300775,929115926.6
CMS,-3.111212403,-15164087527
CMTL,0.831111628,282846754.4
CNA,1.018177132,9075436384
CNBKA,4.629278077,407383538.5
CNC,0.329266667,9251556158
CNMD,1.582746512,1158521100
CNO,0.860426744,3197017802
CNOB,4.08451124,542757410.9
CNP,1.329963178,9469380797
CNS,5.282711628,1732324508
CNSL,1.589746512,1214967159
COBZ,3.584327132,516576443.5
COF,1.521986047,36966515260
COHR,2.941917054,2406083439
COHU,1.147327519,312714185.2
COKE,0.562510811,1449334941
COL,2.21467907,11516511403
COLB,4.38080814,1825873695
CONE,8.110681783,3325894748
COO,4.284468217,8013067109
COR,6.48970969,2280259286
CORE,0.235646899,2792400783
CORR,4.037536434,341120624.3
CORT,10.35791008,642509477
COTY,2.02602907,8739842736
COWN,0.250030233,117694079.3
CPF,4.044144186,758115329.6
CPK,2.116787597,953104529.1
CPN,0.752851163,4821717678
CPS,0.467591473,1594868225
CPSI,2.324592248,483653788.8
CPT,7.519764341,7357557282
CRAI,0.701200388,217932784.6
CRAY,1.754781783,1195484229
CREE,1.666789535,2630884632
CRL,2.54615155,3706327285
CRM,7.126076744,50844865381
CRS,0.883462403,1643205190
CRUS,2.23398876,2835212608
CRVL,1.609664341,810512188.4
CRY,2.707453101,441556842.5
CSBK,12.26075444,355467360.3
CSFL,3.855972973,811862658.3
CSGP,8.366748837,6340238342
CSGS,1.812063178,1372523081
CSRA,0.947184496,4203498091
CSS,0.778684496,244735223.3
CSX,2.406051938,26948687849
CTB,0.661246512,1949912955
CTBI,3.572409653,641796499.2
CTG,0.223561004,78687999.32
CTL,0.853742636,15206767389
CTRE,7.758590698,680657950.2
CTS,1.554635659,595242919.9
CTSH,2.728027132,34995017713
CTWS,5.590163178,543489370.7
CTXS,5.230322481,12848359517
CUB,0.786231008,1145364918
CUBE,12.2512562,5132982478
CUBI,3.074806977,766512213.2
CUDA,2.991719767,986074662.9
CUNB,1.958120155,202743203.6
CUTR,1.594118605,162441789.3
CUZ,17.87932791,2033260953
CVBF,5.795053488,1679396496
CVCO,1.176500775,841190419.2
CVG,0.949272868,2775446508
CVGI,0.161519767,120661026
CVI,0.363292636,1787305705
CVLT,3.466489922,2098594239
CVS,0.627073256,1.01843E+11
CVX,1.513851163,1.87088E+11
CWCO,3.15482,179902113.5
CWT,2.418786434,1433902440
CXO,9.528315504,15230670308
CXW,1.712673643,3105153345
CYH,0.065714341,1475259232
CYNO,2.883309266,1081387419
CYS,33.57583953,1224982302
CYTK,9.58561124,371198057.8
CZNC,4.38872278,256102449.9
CZR,0.293916667,1064769399
D,4.68066124,44581615539
DAL,0.82180814,33132827984
DAN,0.352005426,2069120314
DBD,0.702689535,1706105376
DCI,2.08911938,4674676733
DCO,0.358845349,217076742.9
DCOM,3.41515155,641250820
DCT,10.63496318,3898004102
DDR,21.31376395,21822168971
DE,0.974254651,26715567031
DECK,1.005353876,1855268383
DEI,9.400004264,4980583830
DEL,3.86871938,782178684.5
DENN,1.70300155,845659446.4
DFRG,1.064334496,362488210.7
DFS,2.627747287,23212090581
DGAS,2.654594186,176190160
DGI,2.05704845,1457518054
DGICA,0.645152326,422466815.7
DGX,1.493277132,11204122171
DHI,0.969800388,11143296213
DHIL,4.92426124,628939721.2
DHR,4.425945349,60473765934
DIN,2.303589575,1531409141
DIOD,1.126014341,993139952.4
DIS,2.90899186,1.60466E+11
DISCA,2.598093798,16725626744
DISCK,2.598093798,16725626744
DISH,1.589434884,24368655440
DJCO,6.845060078,293900579.8
DK,0.232010078,1010550029
DLB,4.609636434,4627182411
DLR,7.644714729,13554075590
DO,1.326133721,2790366870
DOC,13.63201705,2226863781
DORM,2.43875,2013348097
DRE,13.67860581,8607052944
DRH,2.049773256,1911867576
DRI,1.198166667,8345179043
DRQ,2.935476357,2159568110
DSPG,1.720133721,234669239
DST,4.709343411,5956216939
DSW,0.75214186,1994240520
DTE,1.629955426,16452742132
DTLK,0.255694186,194659138.6
DUK,2.51150155,54432354535
DX,10.69845181,337019216.3
DXPE,0.293775194,323093790
DY,1.005745736,2530049713
DYN,0.391135271,1641548527
EA,5.22158876,23115143333
EAT,0.883889147,2818869019
EBAY,3.609373643,31568594806
EBF,1.352562791,463971360
EBIO,26.15232868,39968024.62
EBIX,5.801368605,1613280108
EBS,3.118888372,1555996745
EBSB,6.53823876,794476924.5
EBTC,2.857130888,276116561.7
ECHO,0.408193411,670163337.8
ECOL,1.763201163,930754200.5
ECPG,0.560414341,624784754.2
ED,1.815015116,22131100899
EDE,1.217040698,1458553027
EDR,9.970782558,2684825283
EE,2.111611969,1800775315
EEFT,2.214448062,4078216316
EFSC,4.017343411,604082263.9
EGBN,6.203972481,1681079062
EGOV,4.577504264,1386748930
EGP,8.717288372,2106472464
EHTH,1.020139535,200395011
EIG,1.253449612,962212767.3
EIGI,1.402521318,1189251269
EIX,,23259228295
EL,2.978267829,33318876888
ELLI,9.556055426,2763506580
ELS,8.027814729,6735326420
ELY,1.120471705,949578765.2
EMCI,0.884981395,553204526.9
EME,0.464719767,3280755086
EMN,1.103937984,10291824089
ENH,1.973559585,4584147740
ENS,1.190291085,2788744685
ENSG,0.745417054,1089845061
ENTA,5.25743062,506278897.1
ENTG,1.914077907,2113283473
ENV,2.818635271,1360790649
ENZ,2.551162791,259533371
EPAM,3.617306589,3637024269
EPM,6.2671,197461254.1
EPR,12.14709341,4407124464
EQIX,7.575620155,23227673250
EQR,11.98538256,25950485578
EQT,5.508262791,11041251493
EQY,13.57129845,4094195787
ERA,0.709728682,193557717.3
ERIE,0.018909302,29630313.95
ERII,10.72452946,560403576.5
ES,2.315116667,17602787578
ESCA,1.036286538,169671410
ESE,1.949537597,1096944220
ESGR,3.492835521,3211052827
ESL,1.047928682,2092657481
ESNT,5.554127519,2181153453
ESRT,8.610647287,5122110987
ESRX,0.468210853,47569062118
ESS,14.04200388,14515300972
ESSA,2.680024031,144406351
ESV,0.696971318,2477800868
ETFC,5.015437984,7600664600
ETH,1.696170155,901157998.1
ETM,1.161144015,513267202
ETR,0.593631783,13488637488
EV,3.00352093,4071715025
EVC,2.571503488,654637423.8
EVER,2.380995349,2072624660
EVHC,3.664315891,38945433107
EVR,1.770060853,2303738507
EVTC,3.034037066,1150952217
EW,8.062152713,21597115698
EWBC,4.630265891,5382744096
EXAC,1.367572201,339982790.9
EXAR,2.597593023,375464186.6
EXC,0.685184884,30917820659
EXLS,2.564167054,1681493113
EXP,3.25453876,3729840370
EXPD,1.450891473,9104244465
EXPO,4.575322868,349293009.7
EXR,14.40972713,10992722882
F,0.328084884,50189291318
FAF,0.798174419,4227304212
