111CA,113FF,211,212,213,22,23,321,327,331,332,333,334,335,3361MV,3364OT,337,339,311FT,313TT,315AL,322,323,324,325,326,42,441,445,452,4A0,481,482,483,484,485,486,487OS,493,511,512,513,514,521CI,523,524,525,HS,ORE,532RL,5411,5415,5412OP,55,561,562,61,621,622,623,624,711AS,713,721,722,81,GFGD,GFGN,GFE,GSLG,GSLE,,
Farms,"Forestry, fishing, and related activities",Oil and gas extraction,"Mining, except oil and gas",Support activities for mining,Utilities,Construction,Wood products,Nonmetallic mineral products,Primary metals,Fabricated metal products,Machinery,Computer and electronic products,"Electrical equipment, appliances, and components","Motor vehicles, bodies and trailers, and parts",Other transportation equipment,Furniture and related products,Miscellaneous manufacturing,Food and beverage and tobacco products,Textile mills and textile product mills,Apparel and leather and allied products,Paper products,Printing and related support activities,Petroleum and coal products,Chemical products,Plastics and rubber products,Wholesale trade,Motor vehicle and parts dealers,Food and beverage stores,General merchandise stores,Other retail,Air transportation,Rail transportation,Water transportation,Truck transportation,Transit and ground passenger transportation,Pipeline transportation,Other transportation and support activities,Warehousing and storage,"Publishing industries, except internet (includes software)",Motion picture and sound recording industries,Broadcasting and telecommunications,"Data processing, internet publishing, and other information services","Federal Reserve banks, credit intermediation, and related activities","Securities, commodity contracts, and investments",Insurance carriers and related activities,"Funds, trusts, and other financial vehicles",Housing,Other real estate,Rental and leasing services and lessors of intangible assets,Legal services,Computer systems design and related services,"Miscellaneous professional, scientific, and technical services",Management of companies and enterprises,Administrative and support services,Waste management and remediation services,Educational services,Ambulatory health care services,Hospitals,Nursing and residential care facilities,Social assistance,"Performing arts, spectator sports, museums, and related activities","Amusements, gambling, and recreation industries",Accommodation,Food services and drinking places,"Other services, except government",Federal general government (defense),Federal general government (nondefense),Federal government enterprises,State and local general government,State and local government enterprises,,
729,7,8,95,3,513,90729,90,38,21,161,580,70,103,874,132,582,490,1185,296,1,190,1779,92,3713,213,568,2653,421,896,2605,7,104,658,9880,509,16,921,89,75,11,51,141,229,74,72,,4967,684,178,104,33,978,,962,41,151,515,319,88,72,771,637,1920,9561,2582,6,98,6,2374,0,804756,954476
241,8,19,45,51,518,1765,406,414,405,1231,897,283,115,1137,539,308,423,1999,161,104,517,537,97,1193,872,4633,264,113,387,1280,6,31,302,2873,31,3,2099,140,823,231,1450,1839,4279,2244,881,267,69,2311,922,1473,1869,6485,634,6251,552,1550,2744,809,509,451,258,775,330,1476,1121,7595,1662,609,4038,138,103578,186670
2455,32,112,1703,47,1877,2061,805,2700,4268,987,443,118,278,1113,323,286,221,6125,69,8,2421,157,1576,5200,1741,204,36,104,33,129,139,287,21,3275,16,3,81,26,22,3,400,37,30,6,75,1,61,759,64,55,24,856,47,417,73,70,389,343,61,74,21,74,189,709,162,490,298,390,1769,1452,22708,73609
1669,8,71,278,23,189,1817,23,439,742,117,65,39,76,77,56,22,52,3061,19,2,148,10,55,1437,62,67,18,48,16,32,77,28,11,172,8,11,31,2,3,1,42,10,6,1,1,0,37,138,27,1,4,3305,129,121,34,201,119,173,20,22,10,33,28,222,77,4787,192,370,1031,174,34877,57273
7736,340,346,844,209,629,18451,2241,3236,5371,4276,4125,1466,1315,7359,2302,1254,1261,24787,854,508,3175,740,6802,6997,2729,3974,1729,2707,3525,7412,758,424,339,4419,114,52,1743,182,964,65,2704,770,137,388,182,9,572,623,585,167,210,3462,386,1575,472,690,1550,1791,502,490,236,641,590,4193,1840,5087,553,448,5916,981,148753,324257
,3,0,7,12,86,383,104,104,93,326,215,44,18,217,85,78,141,390,33,21,125,140,27,175,200,457,43,5,2,134,0,423,0,2,,1,4,2,207,55,454,757,1954,647,650,82,55,936,305,690,700,2856,199,2360,147,627,1203,1270,510,102,2316,98,115,523,338,64,4,35,12954,94,38414,75821
226,5,3872,28,5,9108,280,6,9,14,11,20,3,7,5,5,3,6,39,6,1,24,18,8073,421,22,25,5,4,2,19,349,61,52,447,37,41,72,7,1,0,4,2,16,1,0,0,1,20,11,1,3,24,13,83,18,11,12,44,11,6,2,10,9,21,29,175,11,374,685,3520,4666,33123
,309,1,137,1,5467,16,329,326,36,25,6,0,1,8,0,227,53,179,55,,230,179,84,47,156,33039,2095,1009,2577,15138,17116,809,7676,34822,382,188,34964,1758,1752,613,209,3813,706,4982,982,,,,2383,1383,495,9674,132,4155,654,651,2713,3827,527,852,1504,486,174,576,2273,4,10,269,982,2422,32931,241576
1390,,2,169,,422,,407,265,272,1171,599,259,108,1304,562,261,779,952,279,213,390,489,241,872,560,17205,3017,7392,11017,18087,13,1,620,5383,71,2,4113,4356,370,114,304,758,,773,147,,3,124,378,262,97,1357,11,1501,92,81,622,947,145,190,234,111,526,1114,550,312,99,,3993,219,5263,103939
64,2,16,0,1,69,281,7,7,10,132,48,91,6,44,95,12,33,28,8,8,5,42,5,54,18,609,84,19,26,407,8,56,0,9,5,0,27,26,47073,43,352,909,235,531,105,15,3,243,224,631,428,5248,1950,1930,6,461,661,762,72,212,32,35,47,43,521,754,780,305,5853,79,196067,268971
